Aspect_Ratio,BNC,Brightness,Built-in_Speakers,Component,Contrast_Ratio,Curved,Curved_Screen,DVI,DVI-D_Dual-Link,DVI-I_Dual-Link,Display_Colors,DisplayPort,HDMI,IPS,Kind,LED,Link,Manufacturer,Mini-Display_Port,Model,Name,Part_#,Prices,Pricing,Recommended_Resolution,Refresh_Rate,Response_Time,S-Video,Screen_Size,Supports_Freesync,Supports_G-Sync,VGA,Viewing_Angle,Widescreen,screen_size,response,avg,refresh,screen_res,screen_area,screen_dims,screen_x,screen_y,price_per_sq_in
16:9,,300.0,No,,"100,000,000:1",,,1,,,16700000,,1,No,Monitor,Yes,/product/NysKHx/acer-monitor-umhs1aad01,Acer,,,"Acer UM.HS1AA.D01 27.0"" 1920x1080 60Hz Monitor",UM.HS1AA.D01,"[199.9, 245.98]","{u'amazon': 199.9, u'directron': 245.98}",1920 x 1080,60Hz,6 ms,,27,,,1,178° H x 178° V,Yes,27.0,6.0,222.94,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.715694825484
5:4,,250.0,No,,"100,000,000:1 (1000:1)",,,1,,,16700000,,,No,Monitor,Yes,/product/2wR48d/acer-monitor-umbv6aa001,Acer,,V176Lbd,"Acer V176Lbd 17.0"" 1280x1024 75Hz Monitor",UM.BV6AA.001,"[113.99, 118.59, 125.98]","{u'directron': 125.98, u'superbiiz': 113.99, u'bhphotovideo': 118.59}",1280 x 1024,75Hz,5 ms,,17,,,1,170° H x 160° V,No,17.0,5.0,119.52,75.0,"(5.0, 4.0)",140.975609756,"[13.2747697605, 10.6198158084]",13.2747697605,10.6198158084,0.847806228374
16:9,,250.0,Yes,,"5,000,000:1",,,,,,,1,,Yes,Monitor,Yes,/product/BW2kcf/hp-monitor-f3j72a8aba,HP,,,"HP F3J72A8#ABA 23.0"" 1920x1080 60Hz Monitor",F3J72A8#ABA,"[289.0, 289.0, 283.99]","{u'newegg': 289.0, u'pcmall': 283.99, u'bhphotovideo': 289.0}",1920 x 1080,60Hz,7 ms,,23,,,1,,Yes,23.0,7.0,287.33,60.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,1.27113802247
256:135,,320.0,No,,,,,,,,,1,1,Yes,Monitor,Yes,/product/wykwrH/lg-monitor-31mu97cb,LG,1,,"LG 31MU97C-B 31.0"" 4096x2160 60Hz Monitor",31MU97C-B,"[938.54, 970.99, 971.13, 1072.99, 1159.99]","{u'amazon': 971.13, u'pcmall': 1072.99, u'superbiiz': 1159.99, u'jet': 970.99, u'bhphotovideo': 938.54}",4096 x 2160,60Hz,5 ms,,31,,,,178° H x 178° V,Yes,31.0,5.0,1022.728,60.0,"(256.0, 135.0)",396.511025418,"[27.4208385893, 14.4602078498]",27.4208385893,14.4602078498,2.5793179368
16:9,,250.0,No,,"3,000,000:1 (1000:1)",,,,,,16700000,1,1,Yes,Monitor,Yes,/product/BykwrH/lenovo-monitor-60c8mar1us,Lenovo,,,"Lenovo 60C8MAR1US 23.8"" 1920x1080 60Hz Monitor",60C8MAR1US,"[227.1, 239.56]","{u'amazon': 227.1, u'jet': 239.56}",1920 x 1080,60Hz,7 ms,,23.8,,,1,178° H x 178° V,Yes,23.8,7.0,233.33,60.0,"(16.0, 9.0)",242.039643917,"[20.7434977836, 11.6682175033]",20.7434977836,11.6682175033,0.964015630762
16:9,,340.0,Yes,,1000:1,,,1,,,1070000000,1,1,Yes,Monitor,Yes,/product/fsR48d/nec-monitor-pa272wsv,NEC,1,,"NEC PA272W-SV 27.0"" 2560x1440 85Hz Monitor",PA272W-SV,[1549.0],{u'bhphotovideo': 1549.0},2560 x 1440,85Hz,6 ms,,27,,,,178° H x 178° V,Yes,27.0,6.0,1549.0,85.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,4.97268899558
16:9,,250.0,Yes,,5000000:1 DCR (1000:1),,,1,,,16700000,1,,Yes,Monitor,Yes,/product/bgGkcf/lg-monitor-e2722pybn,LG,,,"LG E2722PY-BN 27.0"" 1920x1080 Monitor",E2722PY-BN,[289.99],{u'superbiiz': 289.99},1920 x 1080,,14 ms,,27,,,1,178° H x 178° V,Yes,27.0,14.0,289.99,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.930942596403
16:9,,200.0,No,,"DFC 5,000,000:1 (1000:1)",,,1,,,16700000,,1,Yes,Monitor,Yes,/product/FL2rxr/lg-monitor-27mp37vqb,LG,,,"LG 27MP37VQ-B 27.0"" 1920x1080 60Hz Monitor",27MP37VQ-B,"[217.99, 217.99, 250.54, 256.99, 379.95, 474.0]","{u'neweggmkt': 379.95, u'superbiiz': 256.99, u'bhphotovideo': 250.54, u'amazon': 217.99, u'newegg': 217.99, u'pcmall': 474.0}",1920 x 1080,60Hz,5 ms,,27,,,1,178° H x 178° V,Yes,27.0,5.0,299.576666667,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.961718265762
16:10,,180.0,No,,1000:1,,,1,,,,1,1,Yes,Monitor,No,/product/WvTmP6/nec-monitor-md242c2,NEC,,,"NEC MD242C2 24.0"" 1920x1200 60Hz Monitor",MD242C2,"[1299.99, 1359.8, 1699.0, 1699.0]","{u'newegg': 1299.99, u'pcmall': 1699.0, u'jet': 1359.8, u'bhphotovideo': 1699.0}",1920 x 1200,60Hz,8 ms,,24,,,1,178° H x 178° V,Yes,24.0,8.0,1514.4475,60.0,"(16.0, 10.0)",258.876404494,"[20.3519592961, 12.7199745601]",20.3519592961,12.7199745601,5.85007931858
16:9,,200.0,No,,"5,000,000:1",,,1,,,16700000,,1,Yes,Monitor,Yes,/product/zr9KHx/lg-monitor-27mp35vqb,LG,,,"LG 27MP35VQ-B 27.0"" 1920x1080 60Hz Monitor",27MP35VQ-B,[254.99],{u'superbiiz': 254.99},1920 x 1080,60Hz,5 ms,,27,,,1,178° H x 178° V,Yes,27.0,5.0,254.99,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.818583581009
16:9,,250.0,No,,1000:1,,,1,,,,,1,No,Monitor,Yes,/product/KTyFf7/planar-monitor-997639900,Planar,,PXL2430MW,"Planar PXL2430MW 23.5"" 1920x1080 Monitor",997-6399-00,"[255.99, 267.84, 287.5, 280.99, 278.1]","{u'amazon': 267.84, u'newegg': 280.99, u'jet': 287.5, u'superbiiz': 255.99, u'pcmall': 278.1}",1920 x 1080,,5 ms,,23.5,,,1,178° H x 160° V,Yes,23.5,5.0,274.084,0.0,"(16.0, 9.0)",235.976261128,"[20.4820251224, 11.5211391314]",20.4820251224,11.5211391314,1.1614897138
16:9,,250.0,Yes,,"ACM 100,000,000:1 (3000:1)",,,,,,16700000,,1,No,Monitor,Yes,/product/Y2VBD3/acer-monitor-umww0aa004,Acer,,UT220HQL bmjz,"Acer UT220HQL bmjz 21.5"" 1920x1080 60Hz Monitor",UM.WW0AA.004,"[236.9, 238.99, 243.23, 245.98, 234.23, 259.99, 252.99, 300.98]","{u'directron': 245.98, u'jet': 238.99, u'ncixus': 300.98, u'bestbuy': 259.99, u'superbiiz': 236.9, u'bhphotovideo': 243.23, u'amazon': 234.23, u'pcmall': 252.99}",1920 x 1080,60Hz,8 ms,,21.5,,,1,178° H x 178° V,Yes,21.5,8.0,251.66125,60.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,1.27410974776
16:9,,250.0,No,,1000:1,,,,,,,,,No,Monitor,Yes,/product/zbMFf7/viewsonic-monitor-va1938waled,ViewSonic,,,"ViewSonic VA1938WA-LED 19.0"" 1366x768 Monitor",VA1938WA-LED,[110.99],{u'superbiiz': 110.99},1366 x 768,,5 ms,,19,,,1,170° H x 160° V,Yes,19.0,5.0,110.99,0.0,"(16.0, 9.0)",154.255192878,"[16.5599352054, 9.31496355302]",16.5599352054,9.31496355302,0.719521968298
16:10,,400.0,Yes,,1000:1,,,,1,,16700000,,,Yes,Monitor,No,/product/J3Lypg/doublesight-monitor-ds245v2,DoubleSight,,,"DoubleSight DS-245V2 24.0"" 1920x1200 75Hz Monitor",DS-245V2,[594.51],{u'amazon': 594.51},1920 x 1200,75Hz,5 ms,,24,,,1,,Yes,24.0,5.0,594.51,75.0,"(16.0, 10.0)",258.876404494,"[20.3519592961, 12.7199745601]",20.3519592961,12.7199745601,2.29650130208
16:9,,250.0,No,,50000000:1 (ASCR),,,1,,,16700000,,1,No,Monitor,Yes,/product/MZYXsY/asus-monitor-vs228hp,Asus,,,"Asus VS228H-P 21.5"" 1920x1080 Monitor",VS228H-P,"[99.99, 109.99, 109.99, 109.99, 109.99, 109.99, 139.99]","{u'jet': 109.99, u'bestbuy': 139.99, u'superbiiz': 99.99, u'bhphotovideo': 109.99, u'amazon': 109.99, u'newegg': 109.99, u'pcmall': 109.99}",1920 x 1080,,5 ms,,21.5,,,1,170° H x 160° V,Yes,21.5,5.0,112.847142857,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.571322143243
16:9,,300.0,No,,"DC 20,000,000:1 (3,000:1)",,,1,,,,1,,No,Monitor,Yes,/product/8TLypg/viewsonic-monitor-vp2765led,ViewSonic,,,"ViewSonic VP2765-LED 27.0"" 1920x1080 Monitor",VP2765-LED,"[329.99, 328.99, 329.99, 328.99, 389.99]","{u'amazon': 328.99, u'newegg': 328.99, u'pcmall': 329.99, u'jet': 389.99, u'bhphotovideo': 329.99}",1920 x 1080,,5 ms,,27,,,1,178° H x 178° V,Yes,27.0,5.0,341.59,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,1.09659188767
5:4,,250.0,Yes,,1000:1,,,,,,16700000,,,No,Monitor,Yes,/product/pc9KHx/planar-monitor-997695800,Planar,,,"Planar 997-6958-00 19.0"" 1280x1024 60Hz Monitor",997-6958-00<br/>(or) PLL1910M,"[129.6, 132.99, 139.99, 132.85, 134.1]","{u'amazon': 132.85, u'newegg': 132.99, u'superbiiz': 139.99, u'jet': 129.6, u'pcmall': 134.1}",1280 x 1024,60Hz,5 ms,,19,,,1,,No,19.0,5.0,133.906,60.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,0.760408033241
16:9,,250.0,No,,"100,000,000:1",,,1,,,16700000,,,No,Monitor,Yes,/product/jf7CmG/acer-monitor-umfg7aa002,Acer,,G247HL,"Acer G247HL 24.0"" 1920x1080 60Hz Monitor",UM.FG7AA.002,[145.99],{u'superbiiz': 145.99},1920 x 1080,60Hz,6 ms,,24,,,1,,Yes,24.0,6.0,145.99,60.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.593154779128
4:3,,440.0,Yes,,1500:1,,,1,,,,1,1,Yes,Monitor,Yes,/product/pkX2FT/nec-monitor-p212bksv,NEC,,,"NEC P212-BK-SV 21.0"" 1600x1200 60Hz Monitor",P212-BK-SV,[1149.0],{u'bhphotovideo': 1149.0},1600 x 1200,60Hz,8 ms,,21,,,1,178° H x 178° V,No,21.0,8.0,1149.0,60.0,"(4.0, 3.0)",211.68,"[16.8, 12.6]",16.8,12.6,5.42800453515
4:3,,440.0,Yes,,1500:1,,,1,,,1070000000,1,1,Yes,Monitor,Yes,/product/W2VBD3/nec-monitor-p212,NEC,,,"NEC P212 21.3"" 1600x1200 60Hz Monitor",P212,"[699.26, 899.0, 899.0]","{u'pcmall': 899.0, u'jet': 699.26, u'bhphotovideo': 899.0}",1600 x 1200,60Hz,8 ms,,21.3,,,1,178° H x 178° V,No,21.3,8.0,832.42,60.0,"(4.0, 3.0)",217.7712,"[17.04, 12.78]",17.04,12.78,3.82245218835
4:3,,440.0,Yes,,1500:1,,,1,,,1070000000,1,1,Yes,Monitor,Yes,/product/63Z2FT/nec-monitor-p212sv,NEC,,,"NEC P212-SV 21.0"" 1600x1200 60Hz Monitor",P212-SV,[1149.0],{u'bhphotovideo': 1149.0},1600 x 1200,60Hz,8 ms,,21,,,1,178° H x 178° V,No,21.0,8.0,1149.0,60.0,"(4.0, 3.0)",211.68,"[16.8, 12.6]",16.8,12.6,5.42800453515
16:9,,250.0,No,,1000:1,,,1,,,16700000,,1,No,Monitor,Yes,/product/ng6BD3/dell-monitor-st2321l,Dell,,,"Dell ST2321L 23.0"" 1920x1080 Monitor",ST2321L,[199.0],{u'amazon': 199.0},1920 x 1080,,5 ms,,23,,,1,170° H x 160° V,Yes,23.0,5.0,199.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.880369145138
16:9,,250.0,Yes,,"1,000:1",,,,,,16700000,,1,No,Monitor,Yes,/product/tQzZxr/planar-monitor-997769800,Planar,,,"Planar 997-7698-00 23.0"" 1920x1080 60Hz Monitor",997-7698-00,[],{},1920 x 1080,60Hz,14 ms,,23,,,1,178° H x 178° V,Yes,23.0,14.0,0.0,60.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
5:4,1,300.0,Yes,,800:1,,,,,,16700000,,,No,Monitor,No,/product/4PrG3C/viewera-monitor-v191bnb,ViewEra,,,"ViewEra V191BN-B 19.0"" 1280x1024 Monitor",V191BN-B,"[239.99, 301.66]","{u'newegg': 239.99, u'jet': 301.66}",1280 x 1024,,5 ms,,19,,,1,160° H x 160° V,No,19.0,5.0,270.825,0.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,1.53792590028
16:9,,200.0,No,,Mega Infinite DCR (700:1),,,,,,16700000,,,No,Monitor,Yes,/product/x7K7YJ/samsung-monitor-s22c150nsza,Samsung,,S22C150N,"Samsung S22C150N 21.5"" 1920x1080 Monitor",S22C150NS/ZA,[279.95],{u'neweggmkt': 279.95},1920 x 1080,,5 ms,,21.5,,,1,90° H x 65° V,Yes,21.5,5.0,279.95,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,1.4173299381
16:9,,300.0,Yes,,"100,000,000:1",,,,,,1070000000,1,2,No,Monitor,Yes,/product/r9h9TW/asus-monitor-pb287q,Asus,,,"Asus PB287Q 28.0"" 3840x2160 60Hz Monitor",PB287Q,"[397.92, 397.99, 397.92, 439.99, 589.99]","{u'amazon': 397.92, u'newegg': 439.99, u'directron': 589.99, u'superbiiz': 397.99, u'bhphotovideo': 397.92}",3840 x 2160,60Hz,1 ms,,28,,,,170° H x 160° V,Yes,28.0,1.0,444.762,60.0,"(16.0, 9.0)",335.002967359,"[24.4041150395, 13.7273147097]",24.4041150395,13.7273147097,1.32763600128
16:9,,350.0,Yes,,1000:1,,,1,,,1070000000,1,1,Yes,Monitor,Yes,/product/8nbp99/doublesight-monitor-ds279w,DoubleSight,,,"DoubleSight DS-279W 27.0"" 2560x1440 60Hz Monitor",DS-279W,[],{},2560 x 1440,60Hz,6 ms,,27,,,1,178° H x 178° V,Yes,27.0,6.0,0.0,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,250.0,Yes,,1000:1,,,,,,16700000,,,Yes,Monitor,Yes,/product/YpXfrH/samsung-monitor-s22c650d,Samsung,,,"Samsung S22C650D 21.5"" 1920x1080 Monitor",S22C650D,[205.99],{u'superbiiz': 205.99},1920 x 1080,,5 ms,,21.5,,,1,,Yes,21.5,5.0,205.99,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,1.04288549366
16:9,,200.0,Yes,,3000000:1 (600:1),,,1,,,16770000,,,No,Monitor,Yes,/product/NsTmP6/hp-monitor-w2072a,HP,,W2072a (A3M50AA#ABA),"HP W2072a (A3M50AA#ABA) 20.0"" 1600x900 60Hz Monitor",W2072a,[299.95],{u'neweggmkt': 299.95},1600 x 900,60Hz,5 ms,,20,,,1,90° H x 50° V,Yes,20.0,5.0,299.95,60.0,"(16.0, 9.0)",170.919881306,"[17.4315107425, 9.80522479265]",17.4315107425,9.80522479265,1.75491579861
21:9,,300.0,Yes,,"20,000,000:1",,,1,,,,1,2,Yes,Monitor,Yes,/product/DJ6BD3/philips-monitor-298p4qjeb27,Philips,,,"Philips 298P4QJEB/27 29.0"" 2560x1080 60Hz Monitor",298P4QJEB/27,[],{},2560 x 1080,60Hz,5 ms,,29,,,,178° H x 178° V,Yes,29.0,5.0,0.0,60.0,"(21.0, 9.0)",304.5,"[26.6552058705, 11.4236596588]",26.6552058705,11.4236596588,0.0
16:9,,200.0,No,,"DFC 5,000,000:1 (600:1)",,,1,,,,,,No,Monitor,Yes,/product/bsyFf7/lg-monitor-20m35db,LG,,,"LG 20M35D-B 19.5"" 1600x900 60Hz Monitor",20M35D-B,[92.99],{u'superbiiz': 92.99},1600 x 900,60Hz,5 ms,,19.5,,,1,90° H x 65° V,Yes,19.5,5.0,92.99,60.0,"(16.0, 9.0)",162.480712166,"[16.9957229739, 9.56009417283]",16.9957229739,9.56009417283,0.572314084301
5:4,,250.0,No,,1000:1,,,,,,16700000,,,No,Monitor,Yes,/product/v4R48d/hp-monitor-f4m97a8aba,HP,,,"HP F4M97A8#ABA 17.0"" 1280x1024 60Hz Monitor",F4M97A8#ABA,"[114.99, 109.99]","{u'newegg': 114.99, u'pcmall': 109.99}",1280 x 1024,60Hz,5 ms,,17,,,1,,No,17.0,5.0,112.49,60.0,"(5.0, 4.0)",140.975609756,"[13.2747697605, 10.6198158084]",13.2747697605,10.6198158084,0.797939446367
16:10,,250.0,Yes,,"5,000,000:1",,,1,,,16700000,1,,Yes,Monitor,Yes,/product/H8W9TW/hp-monitor-f0w81aaaba,HP,,,"HP F0W81AA#ABA 24.0"" 1920x1200 60Hz Monitor",F0W81AA#ABA,[],{},1920 x 1200,60Hz,8 ms,,24,,,1,,Yes,24.0,8.0,0.0,60.0,"(16.0, 10.0)",258.876404494,"[20.3519592961, 12.7199745601]",20.3519592961,12.7199745601,0.0
16:9,,250.0,Yes,,3000:1,,,1,,,16700000,1,,No,Monitor,Yes,/product/RjTmP6/samsung-monitor-s24a650s,Samsung,,,"Samsung S24A650S 24.0"" 1920x1080 60Hz Monitor",S24A650S,[281.99],{u'superbiiz': 281.99},1920 x 1080,60Hz,8 ms,1,24,,,1,,Yes,24.0,8.0,281.99,60.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,1.14572036555
16:9,,250.0,Yes,,DCR 25000:1 (1000:1),,,1,,,,1,1,Yes,Monitor,Yes,/product/Yc8Zxr/nec-monitor-ea224wmibk,NEC,,,"NEC EA224WMi-BK 22.0"" 1920x1080 Monitor",EA224WMi-BK,"[218.99, 219.99, 229.0, 229.0]","{u'newegg': 219.99, u'pcmall': 229.0, u'superbiiz': 218.99, u'bhphotovideo': 229.0}",1920 x 1080,,5 ms,,22,,,1,178° H x 178° V,Yes,22.0,5.0,224.245,0.0,"(16.0, 9.0)",206.81305638,"[19.1746618167, 10.7857472719]",19.1746618167,10.7857472719,1.08428840966
16:9,,250.0,No,,"100,000,000:1",,,,,,16700000,,,No,Monitor,Yes,/product/s9bp99/acer-monitor-umvv6aac02,Acer,,,"Acer UM.VV6AA.C02 23.0"" 1920x1080 60Hz Monitor",UM.VV6AA.C02,"[132.99, 155.0]","{u'superbiiz': 132.99, u'bhphotovideo': 155.0}",1920 x 1080,60Hz,5 ms,,23,,,1,,Yes,23.0,5.0,143.995,60.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.63702891987
16:9,,350.0,Yes,,"ACM 100,000,000:1 (1000:1)",,,,,,16700000,1,1,Yes,Monitor,Yes,/product/ttnG3C/acer-monitor-xb271hubmiprz,Acer,,,"Acer XB271HU bmiprz 27.0"" 2560x1440 165Hz Monitor",XB271HU bmiprz<br/>(or) UM.HX1AA.001<br/>(or) UM.HX1SA.001-D10,"[799.99, 799.99]","{u'newegg': 799.99, u'bhphotovideo': 799.99}",2560 x 1440,165Hz,4 ms,,27,,Yes,,178° H x 178° V,Yes,27.0,4.0,799.99,165.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,2.56817396357
16:9,,250.0,No,,"5,000,000:1",,,,,,,,2,Yes,Monitor,Yes,/product/bR7wrH/lg-monitor-ips237lbn,LG,,,"LG IPS237L-BN 23.0"" 1920x1080 Monitor",IPS237L-BN,[399.99],{u'amazon': 399.99},1920 x 1080,,5 ms,,23,,,1,178° H x 178° V,Yes,23.0,5.0,399.99,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,1.76954198173
16:9,,250.0,Yes,,"DC 8,000,000:1 (1000:1)",,,,,,16700000,1,2,Yes,Monitor,Yes,/product/BDrG3C/dell-monitor-uz2215h,Dell,,,"Dell UZ2215H 21.5"" 1920x1080 60Hz Monitor",UZ2215H,[],{},1920 x 1080,60Hz,8 ms,,21.5,,,1,178° H x 178° V,Yes,21.5,8.0,0.0,60.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.0
16:9,,300.0,Yes,,"DC 20,000,000:1 (1000:1)",,,1,,,,,,No,Monitor,Yes,/product/3zV48d/viewsonic-monitor-vx2450wmled,ViewSonic,,,"ViewSonic VX2450wm-LED 23.6"" 1920x1080 Monitor",VX2450wm-LED,[289.89],{u'neweggmkt': 289.89},1920 x 1080,,5 ms,,23.6,,,1,170° H x 160° V,Yes,23.6,5.0,289.89,0.0,"(16.0, 9.0)",237.98884273,"[20.5691826761, 11.5701652553]",20.5691826761,11.5701652553,1.21808231291
16:9,,300.0,No,,ACM 80000:1(1000:1),,,1,,,16700000,,,No,Monitor,No,/product/CJrG3C/acer-monitor-etfb3hpa02,Acer,,B243H AJbdr,"Acer B243H AJbdr 24.0"" 1920x1080 Monitor",ET.FB3HP.A02,[249.99],{u'amazon': 249.99},1920 x 1080,,2 ms,,24,,,1,170° H x 160° V,Yes,24.0,2.0,249.99,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,1.01570493345
5:4,,300.0,Yes,1,1000:1,,,,,,16700000,,,No,Monitor,No,/product/WXckcf/planar-monitor-997595600,Planar,,PL1920M,"Planar PL1920M 19.0"" 1280x1024 Monitor",997-5956-00,"[298.2, 314.1, 321.99]","{u'newegg': 321.99, u'amazon': 298.2, u'pcmall': 314.1}",1280 x 1024,,5 ms,1,19,,,1,170° H x 160° V,No,19.0,5.0,311.43,0.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,1.76850831025
16:9,,250.0,No,,"DC 20,000,000:1 (3,000:1)",,,1,,,,,1,No,Monitor,Yes,/product/HhH323/benq-monitor-vw2420h,BenQ,,,"BenQ VW2420H 24.0"" 1920x1080 Monitor",VW2420H,[],{},1920 x 1080,,25 ms,,24,,,1,178° H x 178° V,Yes,24.0,25.0,0.0,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.0
16:9,,250.0,No,,,,,1,,,,,1,Yes,Monitor,Yes,/product/cskwrH/asus-monitor-vs239hv,Asus,,,"Asus VS239HV 23.0"" 1920x1080 60Hz Monitor",VS239HV,[],{},1920 x 1080,60Hz,5 ms,,23,,,1,178° H x 178° V,Yes,23.0,5.0,0.0,60.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
5:4,,250.0,Yes,,"DCR 20,000,000:1 (1000:1)",,,1,,,,,,Yes,Monitor,Yes,/product/MjX2FT/viewsonic-monitor-vg939sm,ViewSonic,,,"ViewSonic VG939SM 19.0"" 1280x1024 60Hz Monitor",VG939SM,"[168.98, 169.99, 169.99, 169.99, 169.99, 169.99, 169.99]","{u'directron': 168.98, u'jet': 169.99, u'bestbuy': 169.99, u'bhphotovideo': 169.99, u'amazon': 169.99, u'newegg': 169.99, u'pcmall': 169.99}",1280 x 1024,60Hz,14 ms,,19,,,1,178° H x 178° V,No,19.0,14.0,169.845714286,60.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,0.964497823506
5:4,,250.0,No,,1000:1,,,,,,16700000,,,No,Monitor,Yes,/product/L3K7YJ/planar-monitor-997745100,Planar,,,"Planar 997-7451-00 19.0"" 1280x1024 60Hz Monitor",997-7451-00,"[170.1, 179.99]","{u'newegg': 179.99, u'pcmall': 170.1}",1280 x 1024,60Hz,5 ms,,19,,,1,,No,19.0,5.0,175.045,60.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,0.994022853186
16:9,,250.0,No,,100000000:1,,,1,,,16700000,,,No,Monitor,No,/product/YzmLrH/asus-monitor-vt207n,Asus,,,"Asus VT207N 19.5"" 1600x900 Monitor",VT207N,"[184.99, 190.99, 184.0, 197.99, 199.99, 200.98]","{u'directron': 200.98, u'jet': 184.99, u'bestbuy': 199.99, u'superbiiz': 197.99, u'bhphotovideo': 190.99, u'amazon': 184.0}",1600 x 900,,5 ms,,19.5,,,1,170° H x 160° V,Yes,19.5,5.0,193.156666667,0.0,"(16.0, 9.0)",162.480712166,"[16.9957229739, 9.56009417283]",16.9957229739,9.56009417283,1.18879751382
16:9,,350.0,Yes,,"100,000,000:1",,,1,,,16700000,1,1,No,Monitor,Yes,/product/sbKhP6/asus-mg248q-240-144hz-monitor-mg248q,Asus,,,"Asus MG248Q 24.0"" 1920x1080 144Hz Monitor",MG248Q,"[272.99, 289.99, 299.0, 299.99, 314.99]","{u'ncixus': 314.99, u'newegg': 299.99, u'bestbuy': 272.99, u'jet': 289.99, u'bhphotovideo': 299.0}",1920 x 1080,144Hz,1 ms,,24,Yes,,,170° H x 160° V,Yes,24.0,1.0,295.392,144.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,1.2001724537
16:9,,300.0,No,,DCR Mega Infinity (3000:1),Yes,Yes,,,,16700000,1,,No,Monitor,Yes,/product/Z8Jkcf/samsung-monitor-s27e650c,Samsung,,,"Samsung S27E650C 27.0"" 1920x1080 60Hz Monitor",S27E650C,[],{},1920 x 1080,60Hz,4 ms,,27,,,,178° H x 178° V,Yes,27.0,4.0,0.0,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
5:4,,250.0,No,,"DCR Mega Infinity, 1000:1 (Typ.)",,,1,,,16700000,,,No,Monitor,Yes,/product/VdmxFT/samsung-monitor-s19e450br,Samsung,,,"Samsung S19E450BR 19.0"" 1280x1024 60Hz Monitor",S19E450BR,"[151.3, 179.99, 174.99, 220.63]","{u'newegg': 179.99, u'pcmall': 174.99, u'jet': 151.3, u'bhphotovideo': 220.63}",1280 x 1024,60Hz,5 ms,,19,,,1,170° H x 160° V,No,19.0,5.0,181.7275,60.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,1.03197056787
