Alarm,Backup/Run Time (Full Load),Backup/Run Time (Half Load),Battery Chemistry,Battery Life,Dataline Protection,Emergency Power OFF,Form Factor,Hot Swappable,Input Voltage,Kind,Link,Load Capacity (VA),Load Capacity (W),Manufacturer,Maximum Battery Recharge Time,Name,Output Voltage,Part #,Prices,Protection Type,Rack Height,Receptacles,Serial Port,Switching Time,USB,Waveform Type,avg,short_link,load_cap_w,load_cap_va,max_batt_recharge_time,full_load,half_load
On Battery,7 Minutes,23 Minutes,Sealed Lead Acid,6 Year,,,Tower,,110 V AC,UPS,/product/fsJkcf/tripp-lite-ups-smart3000net,3000 VA,2400 W,Tripp Lite,4 Hour,Tripp Lite SMART3000NET UPS,120 V AC,SMART3000NET,"[878.68, 993.31, 1012.99, 922.99]",,,4 x NEMA 5-15R<br/>4 x NEMA 5-20R,,4 ms,,,951.9925,tripp-lite-ups-smart3000net,2400.0,3000.0,4.0,7.0,23.0
On Battery<br/>Low Battery<br/>Overload,6.60 Minutes,23.70 Minutes,Sealed Lead Acid,,RJ-11,,,,110 V AC,UPS,/product/bD8H99/apc-ups-bk350,350 VA,210 W,APC,8 Hour,APC BK350 UPS,120 V AC,BK350,"[69.99, 69.99, 78.99, 83.98, 89.99, 83.99]",,,3 x NEMA 5-15R,Yes,,Yes,Step Wave,79.4883333333,apc-ups-bk350,210.0,350.0,8.0,6.6,23.7
,3.20 Minutes,12.40 Minutes,Sealed Lead Acid,,RJ-45,,Desktop,Yes,,UPS,/product/gHNypg/apc-ups-be550ggr,550 VA,330 W,APC,16 Hour,APC BE550G-GR UPS,230 V AC,BE550G-GR,[],,,,,,,,0.0,apc-ups-be550ggr,330.0,550.0,16.0,3.2,12.4
,7 Minutes,26 Minutes,Lead Acid,,,Optional,,Yes,110 V AC,UPS,/product/n4Crxr/apc-ups-smt1500r2x180,1500 VA,1000 W,APC,3 Hour,APC SMT1500R2X180 UPS,120 V AC,SMT1500R2X180,"[903.99, 903.99, 927.65, 949.99, 993.99]",,2U,6 x NEMA 5-15R,Yes,,Yes,,935.922,apc-ups-smt1500r2x180,1000.0,1500.0,3.0,7.0,26.0
,,,,,,,,,,UPS,/product/RRvZxr/eaton-ups-66942,500 VA,250 W,Eaton,,Eaton 66942 UPS,,66942,[],,,,,,,,0.0,eaton-ups-66942,250.0,500.0,0.0,0.0,0.0
On Battery<br/>Low Battery<br/>Configurable Delay,11.90 Minutes,28.30 Minutes,Valve-regulated Lead Acid (VRLA),,,Optional,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/HyfmP6/apc-ups-sum1500rmxl2u,1440 VA,1425 W,APC,,APC SUM1500RMXL2U UPS,120 V AC,SUM1500RMXL2U,"[1073.99, 1118.95, 1130.99, 1145.99, 1148.98, 1269.99, 1249.99]",,2U,8 x NEMA 5-15R,Yes,,Yes,,1162.69714286,apc-ups-sum1500rmxl2u,1425.0,1440.0,0.0,11.9,28.3
,,,,,,,,Yes,110 V AC<br/>220 V AC,UPS,/product/3Ps8TW/cyberpower-ups-cs24c12v2e,,24 W,CyberPower,18 Hour,CyberPower CS24C12V2-E UPS,12 V DC,CS24C12V2-E,[89.99],,,,,,,,89.99,cyberpower-ups-cs24c12v2e,24.0,0.0,18.0,0.0,0.0
Overload<br/>On Battery<br/>Low Battery,2 Minutes,5 Minutes,Sealed Lead Acid,,,,Tower/Rack Mountable,Yes,120 V AC,UPS,/product/wd648d/cyberpower-ups-pr3000lcdrtxl2u,3000 VA,3000 W,CyberPower,6 Hour,CyberPower PR3000LCDRTXL2U UPS,120 V AC,PR3000LCDRTXL2U,"[895.95, 895.95, 909.95, 895.95, 895.95]",EMI / RFI,2U,8 x NEMA 5-20R<br/>1 x NEMA L5-30R,Yes,,Yes,Sine Wave,898.75,cyberpower-ups-pr3000lcdrtxl2u,3000.0,3000.0,6.0,2.0,5.0
On Battery<br/>Low Battery<br/>Overload,13 Minutes,30 Minutes,Lead Acid,,RJ-45,Yes,Tower/Rack Mountable,,120 V AC,UPS,/product/JccMnQ/cyberpower-ups-pr750lcdrtxl2u,750 VA,675 W,CyberPower,6 Hour,CyberPower PR750LCDRTXL2U UPS,120 V AC,PR750LCDRTXL2U,"[389.95, 389.95, 399.0]",EMI / RFI<br/>Surge,,8 x NEMA 5-15R,Yes,,Yes,Pure Sine Wave,392.966666667,cyberpower-ups-pr750lcdrtxl2u,675.0,750.0,6.0,13.0,30.0
,5.70 Minutes,16 Minutes,Valve-regulated Lead Acid (VRLA),,,Yes,Rack-mountable,Yes,220 V AC,UPS,/product/4xYWGX/hp-ups-af460a,5000 VA,4500 W,HP,48 Hour,HP AF460A UPS,,AF460A,"[2072.79, 2335.9, 2463.99, 3249.99]",,3U,4 x IEC 60320 C13<br/>4 x IEC 60320 C19<br/>1 x NEMA L6-30R,,,,,2530.6675,hp-ups-af460a,4500.0,5000.0,48.0,5.7,16.0
,5 Minutes,14 Minutes,Sealed Lead Acid,,RJ-11<br/>RJ-45,Yes,Rack-mountable,Yes,110 V AC,UPS,/product/6GfmP6/cyberpower-ups-pr2200lcdrtxl2utaa,2150 VA,1650 W,CyberPower,8 Hour,CyberPower PR2200LCDRTXL2UTAA UPS,120 V AC,PR2200LCDRTXL2UTAA,"[670.78, 714.99, 819.99]",,2U,8 x NEMA 5-20R,Yes,4 ms,Yes,,735.253333333,cyberpower-ups-pr2200lcdrtxl2utaa,1650.0,2150.0,8.0,5.0,14.0
Overload<br/>Power Failure,2.40 Minutes,9.20 Minutes,,,RJ-11,,Tower<br/>Desktop<br/>Wall Mountable,,120 V AC,UPS,/product/2HNypg/tripp-lite-ups-eco900upsm,900 VA,480 W,Tripp Lite,,Tripp Lite ECO900UPSM UPS,115 V AC<br/>120 V AC,ECO900UPSM,"[109.18, 109.18, 111.99]",EMI<br/>RFI<br/>Black Out<br/>Transient<br/>Surge<br/>Brownout,,12 x NEMA 5-15R,,,Yes,Pulse-width Modulated Sine Wave<br/>Sine Wave,110.116666667,tripp-lite-ups-eco900upsm,480.0,900.0,0.0,2.4,9.2
,2.30 Minutes,8.50 Minutes,,,RJ-11,,Desktop,Yes,110 V AC,UPS,/product/f3FXsY/tripp-lite-ups-avr700u,700 VA,350 W,Tripp Lite,,Tripp Lite AVR700U UPS,120 V AC,AVR700U,"[75.99, 81.99, 74.58, 81.99]",,,4 x NEMA 5-15R,,4 ms,Yes,,78.6375,tripp-lite-ups-avr700u,350.0,700.0,0.0,2.3,8.5
,3.30 Minutes,11.10 Minutes,,,,,Tower,Yes,110 V AC,UPS,/product/c2RFf7/tripp-lite-ups-bc600sine,600 VA,375 W,Tripp Lite,9 Hour,Tripp Lite BC600SINE UPS,120 V AC,BC600SINE,"[108.3, 113.99, 139.99, 136.99]",,,3 x NEMA 5-15R,,5 ms,Yes,,124.8175,tripp-lite-ups-bc600sine,375.0,600.0,9.0,3.3,11.1
On Battery<br/>Low Battery<br/>Overload,7.40 Minutes,26.50 Minutes,Sealed Lead Acid,,,,,,110 V AC,UPS,/product/Pd648d/apc-ups-sua1500r2x93,1440 VA,980 W,APC,,APC SUA1500R2X93 UPS,120 V AC,SUA1500R2X93,"[918.99, 899.95, 899.95, 897.99, 999.99]",,2U,6 x NEMA 5-15R,Yes,,,Sine Wave,923.374,apc-ups-sua1500r2x93,980.0,1440.0,0.0,7.4,26.5
On Battery<br/>Low Battery<br/>Overload,6.70 Minutes,23.90 Minutes,Sealed Lead Acid,,,,,Yes,110 V AC,UPS,/product/Bpbkcf/apc-ups-sua1500x93,1440 VA,980 W,APC,3 Hour,APC SUA1500X93 UPS,120 V AC,SUA1500X93,"[729.95, 729.95, 751.98, 782.99, 741.99, 789.99]",,,8 x NEMA 5-15R,Yes,,Yes,,754.475,apc-ups-sua1500x93,980.0,1440.0,3.0,6.7,23.9
,7 Minutes,26 Minutes,Sealed Lead Acid,,,Optional,Rack-mountable,Yes,110 V AC,UPS,/product/fgL7YJ/apc-ups-smt1500rmus,1500 VA,1000 W,APC,3 Hour,APC SMT1500RMUS UPS,120 V AC,SMT1500RMUS,"[883.99, 898.69, 879.99, 899.0]",,2U,6 x NEMA 5-15R,,,Yes,,890.4175,apc-ups-smt1500rmus,1000.0,1500.0,3.0,7.0,26.0
On Battery<br/>Low Battery,6.80 Minutes,24.50 Minutes,Sealed Lead Acid,,,Optional,,Yes,110 V AC,UPS,/product/LgL7YJ/apc-ups-su2200r3x167,2200 VA,1980 W,APC,3 Hour,APC SU2200R3X167 UPS,120 V AC,SU2200R3X167,"[1639.99, 1607.99, 1839.99, 1879.99]",,3U,6 x NEMA 5-15R,Yes,,,Sine Wave,1741.99,apc-ups-su2200r3x167,1980.0,2200.0,3.0,6.8,24.5
On Battery<br/>Low Battery<br/>Configurable Delay<br/>Battery Failure,6 Minutes,11 Minutes,Sealed Lead Acid,,,,Rack-mountable,Yes,,UPS,/product/FNNypg/apc-ups-smc1000i2u,1000 VA,600 W,APC,3 Hour,APC SMC1000I-2U UPS,230 V AC,SMC1000I-2U,[497.07],Surge<br/>Spike<br/>Lightning,2U,,Yes,,Yes,Sine Wave,497.07,apc-ups-smc1000i2u,600.0,1000.0,3.0,6.0,11.0
On Battery<br/>Low Battery<br/>Overload,10.20 Minutes,24.40 Minutes,Sealed Lead Acid,,,Optional,Tower,Yes,220 V AC,UPS,/product/BnnG3C/apc-ups-surt1000rmxli,1000 VA,700 W,APC,,APC SURT1000RMXLI UPS,230 V AC,SURT1000RMXLI,"[757.12, 974.49]",,2U,6 x IEC 320-C13<br/>2,Yes,,,,865.805,apc-ups-surt1000rmxli,700.0,1000.0,0.0,10.2,24.4
On Battery<br/>Low Battery<br/>Configurable Delay,6.70 Minutes,24.10 Minutes,Sealed Lead Acid,,,Yes,Tower,Yes,110 V AC,UPS,/product/mZ8H99/apc-ups-sua2200,2200 VA,1980 W,APC,,APC SUA2200 UPS,120 V AC,SUA2200,[],,,8 x NEMA 5-15R<br/>2 x NEMA 5-20R,Yes,,Yes,Sine Wave,0.0,apc-ups-sua2200,1980.0,2200.0,0.0,6.7,24.1
On Battery<br/>Low Battery<br/>Configurable Delay,5.90 Minutes,19.40 Minutes,Sealed Lead Acid,,RJ-45<br/>RJ-11,Optional,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/8tJkcf/apc-ups-sc450rm1u,450 VA,280 W,APC,,APC SC450RM1U UPS,120 V AC,SC450RM1U,"[145.99, 148.99, 157.99, 146.99, 175.99, 189.99]",,1U,4 x NEMA 5-15R,Yes,,,,160.99,apc-ups-sc450rm1u,280.0,450.0,0.0,5.9,19.4
On Battery<br/>Low Battery,5.90 Minutes,19.40 Minutes,Sealed Lead Acid,,RJ-45<br/>RJ-11,Optional,Tower/Rack Mountable,Yes,220 V AC,UPS,/product/xBPzK8/apc-ups-sc450rmi1u,450 VA,280 W,APC,,APC SC450RMI1U UPS,230 V AC,SC450RMI1U,"[216.67, 224.99, 238.12, 232.99]",,1U,4 x IEC 320-C13<br/>2,Yes,,,Step Simulated Sine Wave,228.1925,apc-ups-sc450rmi1u,280.0,450.0,0.0,5.9,19.4
On Battery<br/>Low Battery<br/>Configurable Delay,5.50 Minutes,15.70 Minutes,Sealed Lead Acid,,RJ-45,,,Yes,220 V AC,UPS,/product/rbjWGX/apc-ups-sc620i,620 VA,390 W,APC,,APC SC620I UPS,230 V AC,SC620I,[235.99],,,3 x IEC 320-C13<br/>2 x IEC 320-C13<br/>1,Yes,,,,235.99,apc-ups-sc620i,390.0,620.0,0.0,5.5,15.7
,9 Minutes,31 Minutes,Lead Acid,,,Optional,Rack-mountable,Yes,110 V AC,UPS,/product/WQVBD3/apc-ups-smt1000rm2u,1000 VA,700 W,APC,3 Hour,APC SMT1000RM2U UPS,120 V AC,SMT1000RM2U,"[432.49, 432.49, 442.99, 432.49, 443.99, 447.99, 569.0, 539.99]",,2U,6 x NEMA 5-15R,Yes,,Yes,,467.67875,apc-ups-smt1000rm2u,700.0,1000.0,3.0,9.0,31.0
,5 Minutes,22 Minutes,Lead Acid,,,,Rack-mountable,Yes,110 V AC,UPS,/product/BBPzK8/apc-ups-smt2200rm2u,2200 VA,1980 W,APC,3 Hour,APC SMT2200RM2U UPS,120 V AC,SMT2200RM2U,"[904.99, 909.65, 944.99, 909.65, 909.65, 956.49, 1049.99, 999.99]",,2U,6 x NEMA 5-15R<br/>2 x NEMA 5-20R,Yes,,Yes,,948.175,apc-ups-smt2200rm2u,1980.0,2200.0,3.0,5.0,22.0
,,,Sealed Lead Acid,,,Yes,Tower,Yes,110 V AC,UPS,/product/TkTrxr/apc-ups-smt3000,3000 VA,2700 W,APC,3 Hour,APC SMT3000 UPS,120 V AC,SMT3000,"[1010.99, 1125.98, 1151.99, 1010.99, 1250.0, 1121.99]",,,8 x NEMA 5-20R<br/>2 x NEMA 5-15R,Yes,,Yes,,1111.99,apc-ups-smt3000,2700.0,3000.0,3.0,0.0,0.0
Battery Failure,4 Minutes,12 Minutes,Sealed Lead Acid,,,Yes,Rack-mountable,Yes,,UPS,/product/dhqbt6/apc-ups-srt5krmxli,5000 VA,4500 W,APC,3 Hour,APC SRT5KRMXLI UPS,230 V AC,SRT5KRMXLI,[],Surge<br/>Spike<br/>Lightning,,,,,Yes,Sine Wave,0.0,apc-ups-srt5krmxli,4500.0,5000.0,3.0,4.0,12.0
,2 Minutes,,,,,,Tower,,208 V AC,UPS,/product/Ppbkcf/apc-ups-srt6kxlt,6000 VA,6000 W,APC,1.50 Hour,APC SRT6KXLT UPS,208 V AC,SRT6KXLT,"[4004.99, 4029.88, 4499.99, 4479.99]",,,1 x Hard Wire 3-wire (2PH + G)<br/>2 x NEMA L6-20R<br/>3 x NEMA L6-30R,,,,,4253.7125,apc-ups-srt6kxlt,6000.0,6000.0,1.5,2.0,0.0
,2 Minutes,,,,,,Rack-mountable,,208 V AC,UPS,/product/J3FXsY/apc-ups-srt6krmxlt,6000 VA,6000 W,APC,1.50 Hour,APC SRT6KRMXLT UPS,208 V AC,SRT6KRMXLT,"[4129.99, 4150.98, 4399.99, 4629.99]",,4U,1 x Hard Wire 3-wire (2PH + G)<br/>2 x NEMA L6-20R<br/>3 x NEMA L6-30R,,,,,4327.7375,apc-ups-srt6krmxlt,6000.0,6000.0,1.5,2.0,0.0
,5.80 Minutes,17.20 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/qZ8H99/apc-ups-smx1500rm2u,1500 VA,1200 W,APC,3 Hour,APC SMX1500RM2U UPS,120 V AC,SMX1500RM2U,"[634.49, 639.95, 668.99, 684.99, 698.99, 729.99, 799.99]",,2U,8 x NEMA 5-15R,,,Yes,,693.912857143,apc-ups-smx1500rm2u,1200.0,1500.0,3.0,5.8,17.2
,7 Minutes,20 Minutes,Sealed Lead Acid,,RJ-45,,Tower,Yes,110 V AC,UPS,/product/4kTrxr/apc-ups-br1000g,1000 VA,600 W,APC,8 Hour,APC BR1000G UPS,120 V AC,BR1000G,"[121.49, 121.78, 121.78, 136.49, 144.99, 129.99]",,,4 x NEMA 5-15R,Yes,,Yes,,129.42,apc-ups-br1000g,600.0,1000.0,8.0,7.0,20.0
,11 Minutes,28 Minutes,Lead Acid,,,Yes,Rack-mountable,Yes,110 V AC,UPS,/product/x3FXsY/apc-ups-smx2000rmlv2u,1920 VA,1800 W,APC,3 Hour,APC SMX2000RMLV2U UPS,120 V AC,SMX2000RMLV2U,"[1099.49, 1099.49, 1139.56, 1143.99, 1111.49, 1239.99]",,2U,3 x NEMA 5-20R<br/>3 x NEMA L5-20R<br/>1 x NEMA 5-15R,Yes,4 ms,Yes,,1139.00166667,apc-ups-smx2000rmlv2u,1800.0,1920.0,3.0,11.0,28.0
,10 Minutes,25 Minutes,Lead Acid,,,Yes,Rack-mountable,Yes,110 V AC,UPS,/product/kM8H99/apc-ups-smx2200rmlv2u,2200 VA,1980 W,APC,3 Hour,APC SMX2200RMLV2U UPS,120 V AC,SMX2200RMLV2U,"[959.8, 1121.99, 1139.5, 1121.99, 1198.99, 1249.99, 1269.99]",,2U,2 x NEMA 5-20R<br/>6 x NEMA 5-15R,Yes,4 ms,Yes,,1151.75,apc-ups-smx2200rmlv2u,1980.0,2200.0,3.0,10.0,25.0
,6 Minutes,18 Minutes,Lead Acid,,,Yes,Rack-mountable,Yes,110 V AC,UPS,/product/2yfmP6/apc-ups-smx3000rmlv2unc,3000 VA,2700 W,APC,3 Hour,APC SMX3000RMLV2UNC UPS,120 V AC,SMX3000RMLV2UNC,"[1538.99, 1539.99, 1539.99, 1539.99, 1539.99, 1699.99, 1850.0, 1779.99]",,2U,3 x NEMA 5-15R<br/>3 x NEMA 5-20R<br/>1 x NEMA L5-30R,Yes,4 ms,Yes,,1628.61625,apc-ups-smx3000rmlv2unc,2700.0,3000.0,3.0,6.0,18.0
On Battery<br/>Low Battery<br/>Configurable Delay,3.50 Minutes,11.90 Minutes,Valve-regulated Lead Acid (VRLA),,,Optional,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/tGfmP6/apc-ups-sum3000rmxl2u,3000 VA,2850 W,APC,,APC SUM3000RMXL2U UPS,120 V AC,SUM3000RMXL2U,"[1774.03, 1894.99, 2054.99, 2179.99]",,2U,2 x NEMA 5-15R<br/>6 x NEMA 5-20R,Yes,,Yes,,1976.0,apc-ups-sum3000rmxl2u,2850.0,3000.0,0.0,3.5,11.9
,2 Minutes,8 Minutes,Sealed Lead Acid,,RJ-11<br/>RJ-45<br/>RG-6,No,Desktop,Yes,110 V AC,UPS,/product/BCyxFT/cyberpower-ups-cp825avrlcd,825 VA,450 W,CyberPower,8 Hour,CyberPower CP825AVRLCD UPS,120 V AC,CP825AVRLCD,"[93.95, 93.95, 104.95, 93.95]",,,4 x NEMA 5-15R,,4 ms,Yes,,96.7,cyberpower-ups-cp825avrlcd,450.0,825.0,8.0,2.0,8.0
,5.70 Minutes,16 Minutes,Valve-regulated Lead Acid (VRLA),,,Yes,Rack-mountable,Yes,,UPS,/product/9VYWGX/hp-ups-af461a,5000 VA,4500 W,HP,48 Hour,HP AF461A UPS,,AF461A,[],,3U,,,,,,0.0,hp-ups-af461a,4500.0,5000.0,48.0,5.7,16.0
Power Failure<br/>Overload,,10 Minutes,,,RJ-11,,Wall/Desktop/Floor Mountable,Yes,115 V AC<br/>120 V AC,UPS,/product/qTH48d/tripp-lite-ups-avr650um,650 VA,325 W,Tripp Lite,12 Hour,Tripp Lite AVR650UM UPS,115 V AC,AVR650UM,"[81.52, 84.82, 79.99, 81.51]",Brownout<br/>Over Voltage<br/>Black Out<br/>Surge<br/>EMI / RFI,,8 x NEMA 5-15R,,,Yes,Pulse-width Modulated Sine Wave,81.96,tripp-lite-ups-avr650um,325.0,650.0,12.0,0.0,10.0
,5 Minutes,17 Minutes,Sealed Lead Acid,,,,,Yes,230 V AC,UPS,/product/GKZ2FT/tripp-lite-ups-avrx750u,750 VA,450 W,Tripp Lite,,Tripp Lite AVRX750U UPS,230 V AC,AVRX750U,"[143.7, 152.99]",,,6,,,,,148.345,tripp-lite-ups-avrx750u,450.0,750.0,0.0,5.0,17.0
On Battery<br/>Low Battery<br/>Overload,,,,6 Year,RJ-11,,Desktop<br/>Wall Mountable,,110 V AC,UPS,/product/hWX2FT/tripp-lite-ups-eco550ups,550 VA,300 W,Tripp Lite,15 Hour,Tripp Lite ECO550UPS UPS,120 V AC,ECO550UPS,"[60.99, 63.3, 63.99, 64.99, 59.99, 66.99, 63.3]",EMI / RFI<br/>Brownout<br/>Power Failure,,8 x NEMA 5-15R,,,Yes,Sine Wave,63.3642857143,tripp-lite-ups-eco550ups,300.0,550.0,15.0,0.0,0.0
Self-test Operation,3 Minutes,12 Minutes,,,,,,,110 V AC,UPS,/product/VsJkcf/tripp-lite-ups-omni650lcd,650 VA,350 W,Tripp Lite,8 Hour,Tripp Lite OMNI650LCD UPS,120 V AC,OMNI650LCD,"[99.99, 103.99, 104.77, 104.99, 108.98, 124.99, 116.99]",Brownout,,4 x NEMA 5-15R,,,Yes,Pulse-width Modulated Sine Wave,109.242857143,tripp-lite-ups-omni650lcd,350.0,650.0,8.0,3.0,12.0
,4 Minutes,13 Minutes,Sealed Lead Acid,,RJ-45,,Tower,Yes,,UPS,/product/wJVBD3/apc-ups-be700guk,700 VA,405 W,APC,16 Hour,APC BE700G-UK UPS,230 V AC,BE700G-UK,[254.04],,,,,,Yes,Step Simulated Sine Wave,254.04,apc-ups-be700guk,405.0,700.0,16.0,4.0,13.0
,4.80 Minutes,15 Minutes,,,,Yes,Tower,Yes,110 V AC,UPS,/product/tVYWGX/tripp-lite-ups-su1000xlcd,1000 VA,900 W,Tripp Lite,3 Hour,Tripp Lite SU1000XLCD UPS,127 V AC<br/>120 V AC<br/>110 V AC,SU1000XLCD,"[579.47, 604.99, 630.99]",,,6 x NEMA 5-15R,Yes,0 ns,Yes,,605.15,tripp-lite-ups-su1000xlcd,900.0,1000.0,3.0,4.8,15.0
,4.50 Minutes,14 Minutes,,,RJ-45,Yes,Tower,Yes,110 V AC,UPS,/product/2qkwrH/tripp-lite-ups-su2200xla,2200 VA,1600 W,Tripp Lite,6 Hour,Tripp Lite SU2200XLA UPS,120 V AC,SU2200XLA,"[766.69, 813.99, 855.99, 889.99]",,,6 x NEMA 5-15/20R<br/>1 x NEMA L5-20R,,,Yes,,831.665,tripp-lite-ups-su2200xla,1600.0,2200.0,6.0,4.5,14.0
,4.50 Minutes,13 Minutes,,,,Yes,Tower,Yes,110 V AC,UPS,/product/b4Crxr/tripp-lite-ups-su2200xlcd,2200 VA,1800 W,Tripp Lite,3 Hour,Tripp Lite SU2200XLCD UPS,127 V AC<br/>110 V AC<br/>120 V AC,SU2200XLCD,"[985.99, 987.13]",,,1 x NEMA L5-20R<br/>6 x NEMA 5-15/20R,Yes,0 ns,Yes,,986.56,tripp-lite-ups-su2200xlcd,1800.0,2200.0,3.0,4.5,13.0
,5 Minutes,14 Minutes,,,,Yes,Tower,,220 V AC,UPS,/product/JFdFf7/tripp-lite-ups-suint2000xl,2000 VA,1400 W,Tripp Lite,4 Hour,Tripp Lite SUINT2000XL UPS,240 V AC,SUINT2000XL,"[833.99, 874.99, 975.06]",,,8 x IEC 320-C13,Yes,,,,894.68,tripp-lite-ups-suint2000xl,1400.0,2000.0,4.0,5.0,14.0
UPS StartUp<br/>Power Failure<br/>Low Battery<br/>Overload<br/>UPS Fault<br/>Remote Shutdown,5 Minutes,14 Minutes,,,RJ-11<br/>RJ-45,Yes,Tower/Rack Mountable,Yes,120 V AC,UPS,/product/kcYWGX/tripp-lite-ups-su3000rtxl3un,3000 VA,2400 W,Tripp Lite,6 Hour,Tripp Lite SU3000RTXL3UN UPS,120 V AC,SU3000RTXL3UN,"[1406.99, 1378.0, 1567.36, 1599.99]",Over Voltage<br/>Under Voltage<br/>Brownout<br/>EMI / RFI,3U,4 x NEMA 5-15R<br/>4 x NEMA 5-15/20R<br/>1 x NEMA L5-30R,Yes,,Yes,Sine Wave<br/>Pure Sine Wave,1488.085,tripp-lite-ups-su3000rtxl3un,2400.0,3000.0,6.0,5.0,14.0
,4 Minutes,11 Minutes,,,,Yes,Rack-mountable,Yes,110 V AC,UPS,/product/rxGj4D/tripp-lite-ups-su3000rtxlcd3u,3000 VA,2700 W,Tripp Lite,3 Hour,Tripp Lite SU3000RTXLCD3U UPS,127 V AC<br/>110 V AC<br/>120 V AC<br/>115 V AC,SU3000RTXLCD3U,"[1285.59, 1300.0, 1427.99, 1598.99, 1529.0]",,3U,4 x NEMA 5-15/20R<br/>4 x NEMA L5-30R<br/>1 x NEMA 5-15R,Yes,0 ns,Yes,,1428.314,tripp-lite-ups-su3000rtxlcd3u,2700.0,3000.0,3.0,4.0,11.0
On Battery,7 Minutes,22 Minutes,Sealed Lead Acid,6 Year,,,Tower,Yes,110 V AC,UPS,/product/j4qbt6/tripp-lite-ups-te600,600 VA,425 W,Tripp Lite,4 Hour,Tripp Lite TE600 UPS,120 V AC,TE600,"[219.03, 219.99, 236.99]",,,3 x NEMA 5-15R,,,,,225.336666667,tripp-lite-ups-te600,425.0,600.0,4.0,7.0,22.0
Low Battery<br/>On Battery,13.50 Minutes,43.40 Minutes,Sealed Lead Acid,,,Optional,,Yes,110 V AC,UPS,/product/3M8H99/apc-ups-su1000xlnet,1000 VA,670 W,APC,,APC SU1000XLNET UPS,120 V AC,SU1000XLNET,[1699.99],,,6 x NEMA 5-15R,Yes,,,,1699.99,apc-ups-su1000xlnet,670.0,1000.0,0.0,13.5,43.4
,6 Minutes,19 Minutes,Sealed Lead Acid,,,Optional,Tower,Yes,110 V AC,UPS,/product/2f8H99/apc-ups-smt1000us,1000 VA,700 W,APC,3 Hour,APC SMT1000US UPS,120 V AC,SMT1000US,[626.99],,,8 x NEMA 5-15R,,,Yes,,626.99,apc-ups-smt1000us,700.0,1000.0,3.0,6.0,19.0
,1.90 Minutes,12.90 Minutes,Sealed Lead Acid,,RJ-45,,Desktop,,220 V AC,UPS,/product/CkTrxr/apc-ups-be400cp,400 VA,240 W,APC,16 Hour,APC BE400-CP UPS,230 V AC,BE400-CP,[],,,4,,,,,0.0,apc-ups-be400cp,240.0,400.0,16.0,1.9,12.9
,3.50 Minutes,13.30 Minutes,Sealed Lead Acid,,RJ-45,,Desktop,Yes,,UPS,/product/2NNypg/apc-ups-be700ggr,700 VA,405 W,APC,16 Hour,APC BE700G-GR UPS,230 V AC,BE700G-GR,"[117.3, 121.99]",,,,,,,,119.645,apc-ups-be700ggr,405.0,700.0,16.0,3.5,13.3
,5.20 Minutes,18.10 Minutes,Sealed Lead Acid,,RJ-45,,Desktop,,220 V AC,UPS,/product/c7hj4D/apc-ups-be400gr,400 VA,240 W,APC,16 Hour,APC BE400-GR UPS,230 V AC,BE400-GR,[],,,4 x Schuko CEE 7,,,,,0.0,apc-ups-be400gr,240.0,400.0,16.0,5.2,18.1
,4 Minutes,,,,,,,,120 V AC,UPS,/product/Fhqbt6/apc-ups-bg500,500 VA,300 W,APC,16 Hour,APC BG500 UPS,120 V AC,BG500,"[258.5, 258.99, 258.5, 279.99, 299.99, 315.99, 303.99]",,,4 x NEMA 5-15R,,,,,282.278571429,apc-ups-bg500,300.0,500.0,16.0,4.0,0.0
,5.10 Minutes,15.20 Minutes,Lead Acid,,,Yes,,,110 V AC,UPS,/product/WvVBD3/apc-ups-smt2200r2x180,2200 VA,1980 W,APC,3 Hour,APC SMT2200R2X180 UPS,120 V AC,SMT2200R2X180,"[1259.99, 1289.99]",,2U,2 x NEMA 5-20R<br/>6 x NEMA 5-15R,Yes,,Yes,,1274.99,apc-ups-smt2200r2x180,1980.0,2200.0,3.0,5.1,15.2
On Battery<br/>Low Battery<br/>Configurable Delay,5.50 Minutes,13.60 Minutes,Sealed Lead Acid,,,Yes,Tower,Yes,110 V AC,UPS,/product/gjcMnQ/apc-ups-sua3000,3000 VA,2700 W,APC,,APC SUA3000 UPS,120 V AC,SUA3000,[1218.37],,,2 x NEMA 5-15R<br/>8 x NEMA 5-20R,Yes,,,Sine Wave,1218.37,apc-ups-sua3000,2700.0,3000.0,0.0,5.5,13.6
On Battery<br/>Low Battery,9.60 Minutes,33.30 Minutes,Sealed Lead Acid,,,Optional,,Yes,110 V AC,UPS,/product/csJkcf/apc-ups-sua1000xl,1000 VA,800 W,APC,5 Hour,APC SUA1000XL UPS,120 V AC,SUA1000XL,"[568.99, 585.99, 595.08, 634.0, 627.99]",,,8 x NEMA 5-15R,Yes,,Yes,Sine Wave,602.41,apc-ups-sua1000xl,800.0,1000.0,5.0,9.6,33.3
